agency,budget_type,appropriation_id,enacted_amount,enacted_type,text,page,description,year
OFFICE FOR THE AGING,AID TO LOCALITIES,10341,354000.0,appropriation,"45 Inc. (10341) ................................... 354,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10341,354000.0,appropriation,"45 Inc. (10341) ................................... 354,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10327,86000.0,appropriation,"8 ing and respite care program (10327) ............ 86,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10327,86000.0,appropriation,"8 ing and respite care program (10327) ............ 86,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10327,86000.0,appropriation,"8 ing and respite care program (10327) ............ 86,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10332,98000.0,appropriation,"10 grandparents program (10332) .................... 98,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10332,98000.0,appropriation,"10 grandparents program (10332) .................... 98,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10332,98000.0,appropriation,"10 grandparents program (10332) .................... 98,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10333,745000.0,appropriation,"14 elderly (10333) ................................ 745,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10333,745000.0,appropriation,"14 elderly (10333) ................................ 745,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10333,745000.0,appropriation,"14 elderly (10333) ................................ 745,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10866,122500.0,appropriation,"19 dents (10866) .................................. 122,500",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10866,122500.0,appropriation,"19 dents (10866) .................................. 122,500",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10866,122500.0,appropriation,"19 dents (10866) .................................. 122,500",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10867,122500.0,appropriation,"25 regarding the quality of services (10867) ...... 122,500",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10867,122500.0,appropriation,"25 regarding the quality of services (10867) ...... 122,500",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10867,122500.0,appropriation,"25 regarding the quality of services (10867) ...... 122,500",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10320,403000.0,appropriation,"33 among the counties (10320) ..................... 403,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10320,403000.0,appropriation,"33 among the counties (10320) ..................... 403,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10320,403000.0,appropriation,"33 among the counties (10320) ..................... 403,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10334,31500.0,appropriation,"37 project (10334) ................................. 31,500",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10334,31500.0,appropriation,"37 project (10334) ................................. 31,500",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10334,31500.0,appropriation,"37 project (10334) ................................. 31,500",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10833,1500000.0,appropriation,"44 reporting (10833) ............................ 1,500,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10833,1500000.0,appropriation,"44 reporting (10833) ............................ 1,500,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10833,1500000.0,appropriation,"44 reporting (10833) ............................ 1,500,000",10,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10736,250000.0,appropriation,"15 of Lifespan of Greater Rochester (10736) ....... 250,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10736,250000.0,appropriation,"15 of Lifespan of Greater Rochester (10736) ....... 250,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10736,250000.0,appropriation,"15 of Lifespan of Greater Rochester (10736) ....... 250,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10737,350000.0,appropriation,"20 opportunities (10737) .......................... 350,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10737,350000.0,appropriation,"20 opportunities (10737) .......................... 350,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10737,350000.0,appropriation,"20 opportunities (10737) .......................... 350,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10739,200000.0,appropriation,"27 learning opportunities (10739) ................. 200,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10739,200000.0,appropriation,"27 learning opportunities (10739) ................. 200,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10739,200000.0,appropriation,"27 learning opportunities (10739) ................. 200,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10740,700000.0,appropriation,"32 come older adults (10740) ...................... 700,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10740,700000.0,appropriation,"32 come older adults (10740) ...................... 700,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10740,700000.0,appropriation,"32 come older adults (10740) ...................... 700,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10742,500000.0,appropriation,"37 capacity building (10742) ...................... 500,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10742,500000.0,appropriation,"37 capacity building (10742) ...................... 500,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10742,500000.0,appropriation,"37 capacity building (10742) ...................... 500,000",12,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10894,49069000.0,appropriation,"32 Title III-b social services (10894) ........... 49,069,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10894,49069000.0,appropriation,"32 Title III-b social services (10894) ........... 49,069,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10894,49069000.0,appropriation,"32 Title III-b social services (10894) ........... 49,069,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10893,69610000.0,appropriation,"36 nutrition program activities (10893) ........ 69,610,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10893,69610000.0,appropriation,"36 nutrition program activities (10893) ........ 69,610,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10893,69610000.0,appropriation,"36 nutrition program activities (10893) ........ 69,610,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10891,14965000.0,appropriation,"38 Health and human services programs (10891) .... 14,965,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10891,14965000.0,appropriation,"38 Health and human services programs (10891) .... 14,965,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10891,14965000.0,appropriation,"38 Health and human services programs (10891) .... 14,965,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10890,17000000.0,appropriation,"39 Nutrition services incentive program (10890) .. 17,000,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10890,17000000.0,appropriation,"39 Nutrition services incentive program (10890) .. 17,000,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10890,17000000.0,appropriation,"39 Nutrition services incentive program (10890) .. 17,000,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10883,600000.0,appropriation,"48 (10883) ........................................ 600,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10883,600000.0,appropriation,"48 (10883) ........................................ 600,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10883,600000.0,appropriation,"48 (10883) ........................................ 600,000",15,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10887,9000000.0,appropriation,"9 federal older Americans act (10887) .......... 9,000,000",16,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10887,9000000.0,appropriation,"9 federal older Americans act (10887) .......... 9,000,000",16,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10887,9000000.0,appropriation,"9 federal older Americans act (10887) .......... 9,000,000",16,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,81034,980000.0,appropriation,"17 office for the aging (81034) ................... 980,000",16,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,81034,980000.0,appropriation,"17 office for the aging (81034) ................... 980,000",16,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,81034,980000.0,appropriation,"17 office for the aging (81034) ................... 980,000",16,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10844,250000.0,appropriation,"45 Coney Island, Inc (10844) ... 250,000 ............... (re. $250,000)",28,Enacted appropriation should appear as reappropriation in executive budget,2023
OFFICE FOR THE AGING,AID TO LOCALITIES,10844,250000.0,appropriation,"45 Coney Island, Inc (10844) ... 250,000 ............... (re. $250,000)",28,Enacted appropriation should appear as reappropriation in executive budget,2023
OFFICE FOR THE AGING,AID TO LOCALITIES,10844,250000.0,appropriation,"45 Coney Island, Inc (10844) ... 250,000 ............... (re. $250,000)",28,Enacted appropriation should appear as reappropriation in executive budget,2023
OFFICE FOR THE AGING,AID TO LOCALITIES,10844,250000.0,reappropriation,"45 Coney Island, Inc (10844) ... 250,000 ............... (re. $250,000)",28,Enacted reappropriation should appear as reappropriation in executive budget,2023
OFFICE FOR THE AGING,AID TO LOCALITIES,10844,250000.0,reappropriation,"45 Coney Island, Inc (10844) ... 250,000 ............... (re. $250,000)",28,Enacted reappropriation should appear as reappropriation in executive budget,2023
OFFICE FOR THE AGING,AID TO LOCALITIES,10748,900000.0,appropriation,"5 Jewish Poverty (10748) ... 900,000 .................. (re. $739,999)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10748,900000.0,appropriation,"5 Jewish Poverty (10748) ... 900,000 .................. (re. $739,999)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10748,900000.0,appropriation,"5 Jewish Poverty (10748) ... 900,000 .................. (re. $739,999)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10748,739999.0,reappropriation,"5 Jewish Poverty (10748) ... 900,000 .................. (re. $739,999)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10748,739999.0,reappropriation,"5 Jewish Poverty (10748) ... 900,000 .................. (re. $739,999)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10852,200000.0,appropriation,"7 (10852) ... 200,000 ................................. (re. $200,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10852,200000.0,appropriation,"7 (10852) ... 200,000 ................................. (re. $200,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10852,200000.0,appropriation,"7 (10852) ... 200,000 ................................. (re. $200,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10852,200000.0,reappropriation,"7 (10852) ... 200,000 ................................. (re. $200,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10852,200000.0,reappropriation,"7 (10852) ... 200,000 ................................. (re. $200,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10701,300000.0,appropriation,"9 (10701) ... 300,000 ................................. (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10701,300000.0,appropriation,"9 (10701) ... 300,000 ................................. (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10701,300000.0,appropriation,"9 (10701) ... 300,000 ................................. (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10701,100000.0,reappropriation,"9 (10701) ... 300,000 ................................. (re. $100,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10701,100000.0,reappropriation,"9 (10701) ... 300,000 ................................. (re. $100,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10727,100000.0,appropriation,"11 Program (10727) ... 100,000 ......................... (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10727,100000.0,appropriation,"11 Program (10727) ... 100,000 ......................... (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10727,100000.0,appropriation,"11 Program (10727) ... 100,000 ......................... (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10727,100000.0,reappropriation,"11 Program (10727) ... 100,000 ......................... (re. $100,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10727,100000.0,reappropriation,"11 Program (10727) ... 100,000 ......................... (re. $100,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10827,50000.0,appropriation,"13 (10827) ... 50,000 ................................... (re. $50,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10827,50000.0,appropriation,"13 (10827) ... 50,000 ................................... (re. $50,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10827,50000.0,appropriation,"13 (10827) ... 50,000 ................................... (re. $50,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10827,50000.0,reappropriation,"13 (10827) ... 50,000 ................................... (re. $50,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10827,50000.0,reappropriation,"13 (10827) ... 50,000 ................................... (re. $50,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10751,100000.0,appropriation,"16 project (10751) ... 100,000 ......................... (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10751,100000.0,appropriation,"16 project (10751) ... 100,000 ......................... (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10751,100000.0,appropriation,"16 project (10751) ... 100,000 ......................... (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10751,100000.0,reappropriation,"16 project (10751) ... 100,000 ......................... (re. $100,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10751,100000.0,reappropriation,"16 project (10751) ... 100,000 ......................... (re. $100,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10305,150000.0,appropriation,"18 (10305) ... 150,000 ................................. (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10305,150000.0,appropriation,"18 (10305) ... 150,000 ................................. (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10305,150000.0,appropriation,"18 (10305) ... 150,000 ................................. (re. $100,000)",29,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10305,100000.0,reappropriation,"18 (10305) ... 150,000 ................................. (re. $100,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10305,100000.0,reappropriation,"18 (10305) ... 150,000 ................................. (re. $100,000)",29,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10745,100000.0,appropriation,"26 Aged Coney Island (10745) ... 100,000 ............... (re. $100,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10745,100000.0,appropriation,"26 Aged Coney Island (10745) ... 100,000 ............... (re. $100,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10745,100000.0,appropriation,"26 Aged Coney Island (10745) ... 100,000 ............... (re. $100,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10745,100000.0,reappropriation,"26 Aged Coney Island (10745) ... 100,000 ............... (re. $100,000)",33,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10745,100000.0,reappropriation,"26 Aged Coney Island (10745) ... 100,000 ............... (re. $100,000)",33,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10746,900000.0,appropriation,"31 Jewish Poverty (10746) ... 900,000 .................. (re. $134,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10746,900000.0,appropriation,"31 Jewish Poverty (10746) ... 900,000 .................. (re. $134,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10746,900000.0,appropriation,"31 Jewish Poverty (10746) ... 900,000 .................. (re. $134,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10746,134000.0,reappropriation,"31 Jewish Poverty (10746) ... 900,000 .................. (re. $134,000)",33,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10746,134000.0,reappropriation,"31 Jewish Poverty (10746) ... 900,000 .................. (re. $134,000)",33,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10852,200000.0,appropriation,"38 (10852) ... 200,000 ................................. (re. $200,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10852,200000.0,appropriation,"38 (10852) ... 200,000 ................................. (re. $200,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10852,200000.0,appropriation,"38 (10852) ... 200,000 ................................. (re. $200,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10852,200000.0,reappropriation,"38 (10852) ... 200,000 ................................. (re. $200,000)",33,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10852,200000.0,reappropriation,"38 (10852) ... 200,000 ................................. (re. $200,000)",33,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10711,665000.0,appropriation,"40 (10711) ... 665,000 ................................. (re. $665,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10711,665000.0,appropriation,"40 (10711) ... 665,000 ................................. (re. $665,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10711,665000.0,appropriation,"40 (10711) ... 665,000 ................................. (re. $665,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10711,665000.0,reappropriation,"40 (10711) ... 665,000 ................................. (re. $665,000)",33,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10711,665000.0,reappropriation,"40 (10711) ... 665,000 ................................. (re. $665,000)",33,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10750,75000.0,appropriation,"42 Network (10750) ... 75,000 ............................ (re. $2,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10750,75000.0,appropriation,"42 Network (10750) ... 75,000 ............................ (re. $2,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10750,75000.0,appropriation,"42 Network (10750) ... 75,000 ............................ (re. $2,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10750,2000.0,reappropriation,"42 Network (10750) ... 75,000 ............................ (re. $2,000)",33,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10750,2000.0,reappropriation,"42 Network (10750) ... 75,000 ............................ (re. $2,000)",33,Enacted reappropriation should appear as reappropriation in executive budget,2022
OFFICE FOR THE AGING,AID TO LOCALITIES,10751,50000.0,appropriation,"44 (10751) ... 50,000 ................................... (re. $50,000)",33,Enacted appropriation should appear as reappropriation in executive budget,2022
